statement,year,topic_id,position,level,difficulty,modality,practice_area,field_of_study,choice_a,choice_b,choice_c,choice_d,choice_e,correct_choice
"Qual o padrão de projeto indicado para garantir que uma classe tenha apenas uma instância?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Analista de Sistemas,Superior,Médio,Múltipla Escolha,Tecnologia da Informação,Engenharia de Software,Factory Method,Abstract Factory,Singleton,Builder,Prototype,C
"No padrão MVC, qual camada é responsável pela lógica de negócio e manipulação de dados?",2023,cf739b1d-1db3-4768-bed9-a80f661d5833,Desenvolvedor,Superior,Difícil,Múltipla Escolha,Desenvolvimento de Software,Ciência da Computação,View,Controller,Model,Template,Router,C
"Qual princípio SOLID estabelece que uma classe deve ter apenas um motivo para mudar?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Analista de TI,Superior,Médio,Múltipla Escolha,Tecnologia da Informação,Engenharia de Software,Single Responsibility Principle,Open/Closed Principle,Liskov Substitution Principle,Interface Segregation Principle,Dependency Inversion Principle,A
"Em arquitetura de microsserviços, qual componente é responsável por rotear requisições para os serviços apropriados?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Arquiteto de Software,Superior,Difícil,Múltipla Escolha,Arquitetura de Sistemas,Engenharia de Software,Load Balancer,Database,API Gateway,Message Broker,Container,C
"O padrão de projeto Factory Method pertence a qual categoria de padrões GoF?",2023,cf739b1d-1db3-4768-bed9-a80f661d5833,Desenvolvedor,Superior,Fácil,Múltipla Escolha,Desenvolvimento de Software,Ciência da Computação,Criacionais,Estruturais,Comportamentais,Arquiteturais,Funcionais,A
"Qual técnica de teste de software foca em verificar a integração entre módulos?",2024,ca6cbf10-5a3f-4bc3-92e1-5348f46807b9,Analista de Sistemas,Superior,Médio,Múltipla Escolha,Qualidade de Software,Engenharia de Software,Teste Unitário,Teste de Integração,Teste de Sistema,Teste de Aceitação,Teste de Regressão,B
"No contexto de Clean Architecture, qual camada contém as regras de negócio da aplicação?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Desenvolvedor Senior,Superior,Difícil,Múltipla Escolha,Arquitetura de Sistemas,Engenharia de Software,Infrastructure,Presentation,Domain/Entities,Frameworks,Database,C
"Qual padrão de projeto é utilizado para adicionar responsabilidades a objetos de forma dinâmica?",2023,cf739b1d-1db3-4768-bed9-a80f661d5833,Analista de TI,Superior,Médio,Múltipla Escolha,Tecnologia da Informação,Engenharia de Software,Adapter,Bridge,Decorator,Facade,Proxy,C
"Em Domain-Driven Design (DDD), o que representa um Aggregate Root?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Arquiteto de Software,Superior,Difícil,Múltipla Escolha,Arquitetura de Sistemas,Engenharia de Software,Uma entidade que não faz parte de nenhum agregado,A raiz de uma árvore de entidades que garante consistência,Um value object imutável,Um serviço de domínio stateless,Uma interface para repositórios,B
"Qual metodologia ágil utiliza sprints de duração fixa para entregas incrementais?",2023,325aba9b-fe6a-4bc4-9611-77e1a34dc3fc,Gerente de Projetos,Superior,Fácil,Múltipla Escolha,Gestão de Projetos,Engenharia de Software,Kanban,Waterfall,Scrum,XP,Crystal,C
"Qual padrão de projeto permite que objetos com interfaces incompatíveis trabalhem juntos?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Desenvolvedor,Superior,Médio,Múltipla Escolha,Desenvolvimento de Software,Engenharia de Software,Adapter,Decorator,Observer,Strategy,Command,A
"Em Git, qual comando é usado para criar uma nova branch e mudar para ela simultaneamente?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Desenvolvedor,Superior,Fácil,Múltipla Escolha,Controle de Versão,Ciência da Computação,git branch,git checkout -b,git merge,git pull,git stash,B
"Qual é o objetivo principal do padrão Observer?",2023,cf739b1d-1db3-4768-bed9-a80f661d5833,Analista de Sistemas,Superior,Médio,Múltipla Escolha,Desenvolvimento de Software,Engenharia de Software,Criar objetos sem especificar suas classes,Definir dependência um-para-muitos entre objetos,Encapsular uma requisição como objeto,Separar a construção de um objeto da sua representação,Fornecer interface simplificada para subsistema,B
"Em programação orientada a objetos, o que caracteriza o polimorfismo?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Desenvolvedor Junior,Superior,Fácil,Múltipla Escolha,Programação,Ciência da Computação,Ocultar detalhes de implementação,Herdar atributos de classe pai,Tratar objetos de diferentes tipos de forma uniforme,Agrupar dados e comportamentos,Restringir acesso a membros da classe,C
"Qual o propósito do padrão Strategy?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Arquiteto de Software,Superior,Médio,Múltipla Escolha,Arquitetura de Sistemas,Engenharia de Software,Garantir que uma classe tenha apenas uma instância,Definir família de algoritmos intercambiáveis,Adicionar responsabilidades dinamicamente,Converter interface de uma classe,Separar abstração da implementação,B
"Em TDD (Test-Driven Development), qual é a ordem correta do ciclo?",2024,ca6cbf10-5a3f-4bc3-92e1-5348f46807b9,Desenvolvedor,Superior,Médio,Múltipla Escolha,Qualidade de Software,Engenharia de Software,Code - Test - Refactor,Test - Refactor - Code,Refactor - Test - Code,Test - Code - Refactor,Code - Refactor - Test,D
"Qual padrão de projeto é usado para construir objetos complexos passo a passo?",2023,cf739b1d-1db3-4768-bed9-a80f661d5833,Desenvolvedor Senior,Superior,Médio,Múltipla Escolha,Desenvolvimento de Software,Engenharia de Software,Factory Method,Abstract Factory,Builder,Prototype,Singleton,C
"O que é Injeção de Dependência?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Desenvolvedor,Superior,Médio,Múltipla Escolha,Arquitetura de Sistemas,Engenharia de Software,Uma técnica para criar instâncias de classes,Fornecimento externo de dependências a um componente,Herança de múltiplas classes,Um tipo de polimorfismo,Padrão para acesso a banco de dados,B
"Em uma API REST, qual método HTTP é idempotente e usado para atualização completa de recurso?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Desenvolvedor Backend,Superior,Médio,Múltipla Escolha,Desenvolvimento Web,Engenharia de Software,POST,PATCH,PUT,DELETE,GET,C
"Qual é o propósito do padrão Repository?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Arquiteto de Software,Superior,Difícil,Múltipla Escolha,Arquitetura de Sistemas,Engenharia de Software,Gerenciar transações de banco,Abstrair a camada de persistência de dados,Cachear resultados de consultas,Validar entidades de domínio,Mapear objetos para tabelas,B
"O que caracteriza um código com alto acoplamento?",2023,cf739b1d-1db3-4768-bed9-a80f661d5833,Analista de Sistemas,Superior,Médio,Múltipla Escolha,Qualidade de Código,Engenharia de Software,Código bem documentado,Dependências excessivas entre módulos,Baixa complexidade ciclomática,Alta coesão entre classes,Fácil manutenibilidade,B
"Qual técnica de refatoração consiste em dividir um método grande em métodos menores?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Desenvolvedor,Superior,Fácil,Múltipla Escolha,Refatoração,Engenharia de Software,Inline Method,Extract Method,Move Method,Rename Method,Pull Up Method,B
"Em Scrum, quem é responsável por maximizar o valor do produto?",2024,325aba9b-fe6a-4bc4-9611-77e1a34dc3fc,Scrum Master,Superior,Fácil,Múltipla Escolha,Gestão de Projetos,Engenharia de Software,Scrum Master,Development Team,Product Owner,Stakeholder,Tech Lead,C
"Qual padrão de projeto encapsula uma solicitação como um objeto?",2023,cf739b1d-1db3-4768-bed9-a80f661d5833,Desenvolvedor,Superior,Médio,Múltipla Escolha,Desenvolvimento de Software,Engenharia de Software,Observer,Strategy,Command,State,Mediator,C
"O que é um Mock em testes de software?",2024,ca6cbf10-5a3f-4bc3-92e1-5348f46807b9,QA Engineer,Superior,Médio,Múltipla Escolha,Qualidade de Software,Engenharia de Software,Teste automatizado,Objeto que simula comportamento de dependências,Relatório de cobertura de código,Framework de testes,Técnica de debugging,B
"Qual é o princípio SOLID que afirma 'classes devem estar abertas para extensão e fechadas para modificação'?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Desenvolvedor Senior,Superior,Médio,Múltipla Escolha,Arquitetura de Sistemas,Engenharia de Software,Single Responsibility,Open/Closed,Liskov Substitution,Interface Segregation,Dependency Inversion,B
"Em CI/CD, o que significa Continuous Integration?",2024,325aba9b-fe6a-4bc4-9611-77e1a34dc3fc,DevOps Engineer,Superior,Fácil,Múltipla Escolha,DevOps,Engenharia de Software,Deploy automático em produção,Integração frequente de código com build e testes automáticos,Monitoramento contínuo da aplicação,Backup automático de dados,Rollback automático de versões,B
"Qual estrutura de dados é mais eficiente para busca por chave?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Desenvolvedor,Superior,Médio,Múltipla Escolha,Estruturas de Dados,Ciência da Computação,Array,Lista Encadeada,Hash Table,Árvore Binária,Pilha,C
"O que é uma API GraphQL?",2024,cf739b1d-1db3-4768-bed9-a80f661d5833,Desenvolvedor Backend,Superior,Médio,Múltipla Escolha,Desenvolvimento Web,Engenharia de Software,Linguagem de programação,Query language para APIs que permite buscar dados específicos,Framework JavaScript,Banco de dados NoSQL,Protocolo de comunicação,B
"Qual padrão de projeto permite alterar o comportamento de um objeto quando seu estado muda?",2023,cf739b1d-1db3-4768-bed9-a80f661d5833,Desenvolvedor,Superior,Difícil,Múltipla Escolha,Desenvolvimento de Software,Engenharia de Software,Strategy,Observer,State,Command,Memento,C
